Date rain(mm) temperature(cel)
01-1991 36.3658 24.9749
02-1991 11.2949 26.0389
3-1991 68.702 26.1007
4-1991 90.6726 25.6117
5-1991 106.125 24.5972
6-1991 33.4704 23.9335
7-1991 38.3507 22.869
8-1991 30.8415 22.7778
9-1991 17.8836 23.9856
10-1991 39.5171 25.5416
11-1991 53.2342 24.4987
12-1991 52.6873 24.6603
1-1992 10.0164 23.9783
2-1992 14.7595 26.4495
3-1992 17.0571 26.4825
4-1992 110.871 26.077
5-1992 76.6258 24.6422
6-1992 28.3081 24.0012
7-1992 33.1022 22.7881
8-1992 26.8043 22.6085
9-1992 22.0039 23.9175
10-1992 47.6987 24.8249
11-1992 102.895 24.2661
12-1992 97.7108 24.5086
1-1993 79.2166 24.0554
2-1993 51.7039 24.7506
3-1993 22.7852 25.6712
4-1993 80.2353 25.9852
5-1993 110.769 25.0545
6-1993 53.9532 23.7293
7-1993 16.4976 22.772
8-1993 22.0413 23.3712
9-1993 13.3563 23.8067
10-1993 41.7488 25.0648
11-1993 76.3053 25.4003
12-1993 41.5828 23.523
1-1994 6.89012 24.3338
2-1994 16.4423 25.8469
3-1994 46.7777 25.4542
4-1994 109.524 25.4987
5-1994 80.9757 24.636
6-1994 35.0216 23.6743
7-1994 42.6866 22.9638
8-1994 32.2198 23.4674
9-1994 19.8582 24.185
10-1994 69.2886 25.2878
11-1994 166.774 24.0848
12-1994 57.4122 24.2292
1-1995 10.9665 24.9173
2-1995 37.6024 25.9905
3-1995 66.9891 26.0357
4-1995 157.127 25.9741
5-1995 70.1194 24.8178
6-1995 24.081 24.25
7-1995 23.5372 23.2386
8-1995 34.1257 23.5875
9-1995 36.6088 24.2486
10-1995 92.33 25.3587
11-1995 78.7325 25.1489
12-1995 46.5543 24.9749
1-1996 22.0821 25.6384
2-1996 26.4704 26.5305
3-1996 75.0922 26.5395
4-1996 69.9359 25.8825
5-1996 89.4808 24.7916
6-1996 58.6086 23.8763
7-1996 38.0358 23.1048
8-1996 21.7394 23.1909
9-1996 22.0316 24.0581
10-1996 15.9776 24.9987
11-1996 85.0873 24.5339
12-1996 6.78378 24.5666
1-1997 7.03861 25.5407
2-1997 0.99362 26.0216
3-1997 53.8334 26.1673
4-1997 195.956 25.2619
5-1997 58.4165 24.7092
6-1997 50.7637 23.7477
7-1997 30.8043 23.3882
8-1997 30.2092 23.9922
9-1997 8.6719 25.1961
10-1997 187.866 25.092
11-1997 270.111 24.53
12-1997 123.561 24.775
1-1998 74.4882 25.6184
2-1998 52.9432 26.2578
3-1998 49.0786 26.7214
4-1998 111.822 25.6433
5-1998 140.956 24.263
6-1998 76.9888 23.9976
7-1998 35.2155 23.2663
8-1998 34.1443 23.043
9-1998 20.4587 24.2255
10-1998 29.6504 25.9837
11-1998 68.3587 24.7868
12-1998 12.7848 25.0808
1-1999 15.1166 25.6175
2-1999 3.32437 25.91
3-1999 85.4684 26.7558
4-1999 89.9725 25.8325
5-1999 65.0315 24.4059
6-1999 32.7198 24.1095
7-1999 36.7826 23.1219
8-1999 30.4937 23.4935
9-1999 18.088 24.647
10-1999 85.2901 24.5248
11-1999 96.7097 24.6324
12-1999 49.5136 24.4831
1-2000 13.1012 24.4424
2-2000 3.39735 25.4963
3-2000 34.0703 26.6502
4-2000 62.5207 26.403
5-2000 56.9789 25.1022
6-2000 35.5909 23.5271
7-2000 19.5935 24.2789
